K,nmax,gamma,log_A1_over_factorial,log_A2_weighted_over_factorial,log_weighted_ratio
10,220,0.001,-110.19961815101105,-88.90837809262352,21.29124005838753
10,220,0.0010241522514674126,-111.22511622085251,-88.86584028981252,22.35927593103999
10,220,0.0010488878341857713,-110.71888643838395,-88.82225563860617,21.896630799777782
10,220,0.001074220836918136,-110.22789992441389,-88.77761411423701,21.45028581017688
10,220,0.0011001656887029184,-109.72101887899443,-88.73189701406737,20.989121864927057
10,220,0.0011267371670722905,-108.83150561634012,-88.68509379619287,20.14641182014725
10,220,0.0011539504064691005,-108.31761640311422,-88.6371910677321,19.68042533538211
10,220,0.0011818209068670663,-107.8035728502428,-88.58817619051402,19.215396659728782
10,220,0.0012103645425991655,-107.28933044542863,-88.53803653767534,18.751293907753293
10,220,0.0012395975713992602,-106.77500141288296,-88.48675954257232,18.288241870310642
10,220,0.0012695366436620906,-106.26054141928904,-88.4343328413507,17.826208577938345
10,220,0.0013001988119269122,-105.74595872486573,-88.38074414681856,17.365214578047173
10,220,0.0013316015405902036,-106.14731225165667,-88.3259874624504,17.821324789206272
10,220,0.0013637627158529322,-104.71645926099039,-88.27003184479567,16.446427416194723
10,220,0.0013967006559080937,-105.11541310931098,-88.21289818355238,16.902514925758595
10,220,0.0014304341213742877,-104.59967504883089,-88.15454599937907,16.445129049451822
10,220,0.0014649823259812868,-104.08376174377288,-88.09497312527884,15.988788618494041
10,220,0.0015003649475137035,-103.56771209422126,-88.03416756166882,15.53354453255244
10,220,0.0015366021390189459,-104.17732404933153,-87.97214864743052,16.205175401901016
10,220,0.0015737145402858954,-103.66198502938896,-87.90885605384803,15.753128975540932
10,220,0.0016117232896008056,-103.14672806604912,-87.84429960848958,15.302428457559543
10,220,0.0016506500357871298,-103.12589027111886,-87.77848342752915,15.34740684358971
10,220,0.001690516950536154,-102.11635895132164,-87.7113489402003,14.405010011121348
10,220,0.0017313467410354287,-101.60146556907016,-87.64293009367776,13.958535475392395
10,220,0.0017731626629022017,-101.571433344861,-87.57324806640595,13.998185278455054
10,220,0.0018159885334292445,-101.05343376285319,-87.50221033160777,13.551223431245418
10,220,0.0018598487451505655,-100.5354993110948,-87.42983641404675,13.105662897048049
10,220,0.0019047682797347937,-100.01764625218514,-87.35610931143897,12.661536940746174
10,220,0.0019507727222141014,-99.49989131834485,-87.28100850098001,12.218882817364843
10,220,0.0019978882755567855,-101.7816588534903,-87.2049918820108,14.576666971479497
10,220,0.0020461417755918304,-101.2817127056841,-87.12729057712791,14.154422128556192
10,220,0.0020955607062939025,-100.7823464870975,-87.0482207068689,13.734125780228595
