K,nmax,exact_gamma_crossing,perturbative_gamma_crossing,large_K_gamma_crossing
1,80,0.1076544922022854,0.011621371159828238,0.06541110657904053
1,120,0.10765449220228568,0.011621371159828238,0.06541110657904053
1,160,0.1076544922022848,0.011621371159828238,0.06541110657904053
1,220,0.10765449220228436,0.011621371159828238,0.06541110657904053
2,80,0.03435153923389706,0.024374718802018948,0.06541110657904053
2,120,0.034351539233897006,0.024374718802018948,0.06541110657904053
2,160,0.03435153923389649,0.024374718802018948,0.06541110657904053
2,220,0.03435153923389683,0.024374718802018948,0.06541110657904053
3,80,0.023978430146458438,0.03305852875121734,0.06541110657904053
3,120,0.023978430146458587,0.03305852875121734,0.06541110657904053
3,160,0.023978430146459215,0.03305852875121734,0.06541110657904053
3,220,0.023978430146458875,0.03305852875121734,0.06541110657904053
4,80,0.02301293435908254,0.03840007259910388,0.06541110657904053
4,120,0.023012934359082835,0.03840007259910388,0.06541110657904053
4,160,0.023012934359089826,0.03840007259910388,0.06541110657904053
4,220,0.023012934359088993,0.03840007259910388,0.06541110657904053
5,80,0.04798292987083568,0.0420332288733119,0.06541110657904053
5,120,0.047982929870845584,0.0420332288733119,0.06541110657904053
5,160,0.047982929870831734,0.0420332288733119,0.06541110657904053
5,220,0.047982929870839804,0.0420332288733119,0.06541110657904053
6,80,0.03439949332496522,0.044825534565533336,0.06541110657904053
6,120,0.034399493324919775,0.044825534565533336,0.06541110657904053
6,160,0.034399493324907236,0.044825534565533336,0.06541110657904053
6,220,0.03439949332492594,0.044825534565533336,0.06541110657904053
7,80,0.028929921394472258,0.04706499408445075,0.06541110657904053
7,120,0.02892992139447681,0.04706499408445075,0.06541110657904053
7,160,0.028929921394443704,0.04706499408445075,0.06541110657904053
7,220,0.0289299213944847,0.04706499408445075,0.06541110657904053
8,80,0.028215079915218162,0.04887944027338707,0.06541110657904053
8,120,0.02821507991471885,0.04887944027338707,0.06541110657904053
8,160,0.02821507991520918,0.04887944027338707,0.06541110657904053
8,220,0.028215079915245092,0.04887944027338707,0.06541110657904053
9,80,0.04047295528004631,0.050367695236922125,0.06541110657904053
9,120,0.040472955280441696,0.050367695236922125,0.06541110657904053
9,160,0.04047295527945261,0.050367695236922125,0.06541110657904053
9,220,0.040472955278709984,0.050367695236922125,0.06541110657904053
10,80,0.03380630979583613,0.051609055909824404,0.06541110657904053
10,120,0.033806309810956614,0.051609055909824404,0.06541110657904053
10,160,0.03380630980354146,0.051609055909824404,0.06541110657904053
10,220,0.03380630980355899,0.051609055909824404,0.06541110657904053
11,80,0.03055754194952041,0.05266125510415829,0.06541110657904053
11,120,0.030557537219105726,0.05266125510415829,0.06541110657904053
11,160,0.030557538776981516,0.05266125510415829,0.06541110657904053
11,220,0.030557540736909534,0.05266125510415829,0.06541110657904053
12,80,0.030482169959597367,0.053564921561525924,0.06541110657904053
12,120,0.030481390100999255,0.053564921561525924,0.06541110657904053
12,160,0.030481934315152948,0.053564921561525924,0.06541110657904053
12,220,0.030480579027055196,0.053564921561525924,0.06541110657904053
13,80,0.004963327886303638,0.054349381450273536,0.06541110657904053
13,120,0.004950186098987673,0.054349381450273536,0.06541110657904053
13,160,0.004898804131789114,0.054349381450273536,0.06541110657904053
13,220,0.004962425396624767,0.054349381450273536,0.06541110657904053
14,80,0.005240138945839237,0.05503663568713427,0.06541110657904053
14,120,0.004792051042736785,0.05503663568713427,0.06541110657904053
14,160,0.005389828669658656,0.05503663568713427,0.06541110657904053
14,220,0.005415949493276319,0.05503663568713427,0.06541110657904053
15,80,0.00647001903493127,0.055643631317247984,0.06541110657904053
15,120,0.006472784976784806,0.055643631317247984,0.06541110657904053
15,160,0.006476946052840878,0.055643631317247984,0.06541110657904053
15,220,0.006339066948922775,0.055643631317247984,0.06541110657904053
16,80,0.007620503020443047,0.0561836272088393,0.06541110657904053
16,120,0.007615624367852727,0.0561836272088393,0.06541110657904053
16,160,0.007610253808284503,0.0561836272088393,0.06541110657904053
16,220,0.006113557222500512,0.0561836272088393,0.06541110657904053
