gamma,logA1,logA2w,envelope
0.004,-160.0377150701323,-125.65549300098307,-134.85280346173573
0.004159560494384513,-158.38411535375397,-125.35169053486781,-134.85280346173573
0.004325485876611082,-156.8525622595893,-125.0419386208532,-134.85280346173573
0.004498030042842399,-155.4036376094507,-124.72624181504995,-134.85280346173573
0.0046774570171904785,-154.0158704930698,-124.40460859840525,-134.85280346173573
0.004864041355721783,-152.676420890601,-124.07705139191766,-134.85280346173573
0.005058068566578197,-151.37714439038683,-123.7435865652129,-134.85280346173573
0.005259835546856691,-150.11269761622552,-123.40423443854714,-134.85280346173573
0.0054696510369161115,-148.87953974067608,-123.05901927832761,-134.85280346173573
0.005687836092806384,-147.675373177438,-122.70796928625253,-134.85280346173573
0.005914724577542948,-146.49882016391004,-122.35111658217248,-134.85280346173573
0.0061506636719781856,-145.34923783502055,-121.98849718076897,-134.85280346173573
0.006396014406051609,-144.2266236201917,-121.62015096216302,-134.85280346173573
0.006651152211231623,-143.1315885959276,-121.24612163662353,-134.85280346173573
0.006916467494994305,-142.06539265880818,-120.86645670361742,-134.85280346173573
0.0071923662382182285,-141.03004915572797,-120.48120740545397,-134.85280346173573
0.007479270616409372,-140.02852343406954,-120.09042867565371,-134.85280346173573
0.0077776196457068295,-139.06507715490355,-119.69417908197396,-134.85280346173573
0.008087869854657747,-138.1458631954441,-119.2925207639695,-134.85280346173573
0.008410495982789434,-137.2799911755934,-118.88551936530605,-134.85280346173573
0.00874599170704764,-136.48156277524814,-118.47324396171669,-134.85280346173573
0.009094870397212481,-135.7739439260216,-118.05576698590647,-134.85280346173573
0.009457665901448042,-135.2000423838801,-117.633164150017,-134.85280346173573
0.009834933363187689,-134.85280346173573,-117.20551436426305,-134.85280346173573
0.010227250070604928,-135.0070272643161,-116.77289964841214,-133.8265182908666
0.010635216339969868,-137.98081349408213,-116.3354050335508,-132.80023311999744
0.011059456434242818,-133.47289029796315,-115.89311845680177,-131.77394794912834
0.01150061951831075,-130.86669788283464,-115.44613065901787,-130.7476627782592
0.011959380652328207,-128.97014026066202,-114.99453509774794,-129.72137760739008
0.012436441824682721,-127.35448600214887,-114.53842787720612,-128.69509243652095
0.012932533026165363,-125.897437616479,-114.07790767431318,-127.6688072656518
0.013448413366990097,-124.54726448790738,-113.6130756210521,-126.64252209478268
0.013984872238371152,-123.27773322970135,-113.14403511407615,-125.61623692391353
0.014542730520435835,-122.07425027091985,-112.67089157684548,-124.5899517530444
0.015122841838321193,-120.92845852257838,-112.19375227428574,-123.56366658217529
0.015726093868376513,-119.83583163982213,-111.7127263094998,-122.53738141130617
0.01635340969647036,-118.79455753376534,-111.22792484619389,-121.51109624043703
0.01700574923048068,-117.80509558185398,-110.73946139604496,-120.48481106956788
0.017684110669129303,-116.87019831697842,-110.24745180617411,-119.45852589869877
0.018389532029408465,-115.99540622034846,-109.7520135880289,-118.43224072782964
0.019123092734936523,-115.19024922831525,-109.25326459989755,-117.40595555696049
0.019885915267673356,-114.4708266500359,-108.75132173728052,-116.37967038609136
0.020679166885522963,-113.86564258124955,-108.24630077538022,-115.35338521522225
0.02150406140845142,-113.43079935496907,-107.73831827505393,-114.32710004435312
0.022361861075853272,-113.30081487348397,-107.22749522604495,-113.30081487348397
0.0232538784780085,-113.97310855049747,-106.71396031068187,-112.33612348918732
0.024181478564585586,-115.30866628128325,-106.1978495609591,-111.37143210489066
0.02514608073326401,-111.06012116005634,-105.67930014733612,-110.40674072059402
0.02614916100167212,-108.94509280645975,-105.15843952213002,-109.44204933629736
0.02719225426596387,-107.30143360336194,-104.63537572966348,-108.47735795200069
0.02827695664949049,-105.885771953182,-104.11019728370304,-107.51266656770403
0.029404927945161002,-104.61391940895638,-103.58298841760353,-106.54797518340739
0.03057789415522871,-103.44768650850995,-103.05385694947302,-105.58328379911072
0.0317976501323901,-102.36761320670713,-102.52296092416529,-104.61859241481406
0.03306606232623756,-101.36374504667721,-101.99051371588511,-103.6539010305174
0.034385071639268426,-100.43201238361544,-101.45675243904296,-102.68920964622076
0.03575669639682055,-99.57292051495105,-100.9218729139286,-101.7245182619241
0.03718303543547895,-98.7916108574778,-100.38595895300054,-100.75982687762743
