K,diagonal_resummed_gamma_star,bare_perturbative_gamma_star,large_K_gamma_star
1,0.006377132292699476,0.011621371159826196,0.06541110657904053
2,0.01226949298223399,0.024374718802006964,0.06541110657904053
3,0.016132150739841623,0.033058528751243134,0.06541110657904053
4,0.018306668499568694,0.03840007259910382,0.06541110657904053
5,0.0195887423524833,0.042033228873306225,0.06541110657904053
6,0.020566860811836073,0.04482553456559601,0.06541110657904053
7,0.02139585426881354,0.04706499408445071,0.06541110657904053
8,0.022079113012665214,0.04887944027348471,0.06541110657904053
9,0.02263004885704991,0.050367695236921306,0.06541110657904053
10,0.023080097057785198,0.051609055909423274,0.06541110657904053
11,0.02345811094840617,0.05266125510429066,0.06541110657904053
12,0.0237824258364836,0.053564921561533946,0.06541110657904053
13,0.024063811595329984,0.05434938145027409,0.06541110657904053
14,0.024309729825728654,0.055036635687133136,0.06541110657904053
15,0.02452623700627937,0.055643631317296306,0.06541110657904053
16,0.024718327928170608,0.056183627208749615,0.06541110657904053
17,0.024889977345699234,0.05666712391677489,0.06541110657904053
18,0.02504430538151666,0.057102537656386,0.06541110657904053
19,0.025183800360200133,0.057496692765439096,0.06541110657904053
20,0.02531049309676986,0.057855181764736356,0.06541110657904053
21,0.025426065628466523,0.05818263132810398,0.06541110657904053
22,0.025531920959195747,0.05848290190376341,0.06541110657904053
23,0.025629235691820584,0.0587592398101827,0.06541110657904053
24,0.025719003142859912,0.059014394563283314,0.06541110657904053
25,0.025802068061858096,0.05925071034232702,0.06541110657904053
26,0.025879153750949815,0.059470197976408734,0.06541110657904053
27,0.025950883185960113,0.059674592128928276,0.06541110657904053
28,0.02601779576152801,0.05986539710471888,0.06541110657904053
29,0.02608036080761424,0.06004392383848167,0.06541110657904053
30,0.026138988602089134,0.060211319981966584,0.06541110657904053
31,0.026194039381913583,0.060368594545986955,0.06541110657904053
32,0.026245830749668762,0.06051663821267015,0.06541110657904053
33,0.02629464379807577,0.06065624017982615,0.06541110657904053
34,0.026340728207370757,0.060788102208768104,0.06541110657904053
35,0.0263843065127112,0.06091285040245144,0.06541110657904053
36,0.026425577695003588,0.06103104513037559,0.06541110657904053
37,0.026464720216595385,0.06114318943162719,0.06541110657904053
38,0.026501894599242314,0.06124973616143821,0.06541110657904053
39,0.02653724562291669,0.061351094095049935,0.06541110657904053
40,0.02657090420901308,0.06144763316210063,0.06541110657904053
50,0.026835978284115866,0.062209059217030016,0.06541110657904053
60,0.027015228932470513,0.06272510367275673,0.06541110657904053
80,0.02724220112354933,0.06337985332578666,0.06541110657904053
