n,seed,m_components,initial_l2,initial_l4,equal_component_lower_bound,best_min_l4,best_max_l4,min_ratio,max_ratio,lower_bound_ratio,min_to_lower_bound,max_to_lower_bound
8,9234,70,80.18984486146603,229.51328287664734,91.86301741294271,117.65465288234493,1841.3258100936114,0.5126267700400539,8.022741808295418,0.40025142014248816,1.2807619017505558,20.04425569668022
8,9235,70,64.69368965901914,125.02267878349696,59.789621167106866,80.73612422582052,540.2271790150508,0.6457718312501693,4.321033465860763,0.4782302039028068,1.3503367750093276,9.035467502046252
8,9236,70,61.818782864541824,145.8343023979263,54.593741640762424,70.9173230183052,651.2493779297233,0.4862869835986791,4.465680345579544,0.3743545979449806,1.2990009639741338,11.929011611167311
8,9237,70,93.58891231189531,325.6020537201709,125.12692153890902,164.1843770311781,2012.2169646429518,0.5042485916636187,6.179988552444121,0.38429401814045583,1.3121427028804822,16.081407101646306
8,9238,70,78.0969217409442,276.41347501485376,87.13041693444518,111.66682526999752,1101.1260269108213,0.40398473795098744,3.9836192025430366,0.3152176894768354,1.2816055425743336,12.637676550305985
8,9239,70,81.11087464433368,280.3751631810459,93.98534265098303,125.14680608293648,1498.3229789756244,0.4463548221000081,5.343993248104207,0.3352127969705153,1.3315566295020314,15.942091997681864
8,9240,70,77.22827523744228,282.1975588240335,85.202949945002,118.96713091766681,1256.6497758588832,0.4215739193968354,4.453085211280928,0.3019266017043435,1.3962794832157734,14.748899852294354
8,9241,70,62.23030899538532,123.31050171818987,55.32301939515907,71.94584063819055,725.413606909304,0.5834526632825923,5.882820982815742,0.44864807639492577,1.3004684383601453,13.112328554012
10,11234,210,224.3907073851226,668.2774807918632,239.76756933712244,358.9752695006075,2587.327840313841,0.5371649948091117,3.8716370290497206,0.35878445141232984,1.497180250411074,10.790983315495676
10,11235,210,170.3542861517799,383.38628977322276,138.19325147753574,217.35895905393542,2252.292038883933,0.5669450495543429,5.874732871162891,0.36045433851919584,1.5728623267053574,16.298133337213347
10,11236,210,195.76917839184145,473.65434330312826,182.50272003912687,273.7418692704926,2649.050976279177,0.5779359424036863,5.5927935924865855,0.38530781490655347,1.4999330925687295,14.51513147700618
10,11237,210,221.96762202547382,893.2184715728979,234.6172629887791,367.1518630744407,3700.075764162155,0.4110437421070244,4.1424084721922165,0.26266503711643335,1.5648970514671816,15.770688469497303
10,11238,210,200.97445917714265,554.8786186940308,192.33682495973798,299.43581771520843,2098.568577758463,0.5396420183209876,3.7820317940844075,0.3466286472029222,1.5568304082064865,10.910903713824736
10,11239,210,226.9093441582571,766.479939094732,245.1802403158589,365.6373118878688,2946.0835839524075,0.477034418304167,3.843653869704593,0.31987822226036916,1.4913000795530196,12.015991093560597
10,11240,210,209.51286893988726,596.5276697531358,209.02686786391607,320.51698499582915,3422.2593095643683,0.5373044726130983,5.736966586949135,0.3504059886281868,1.5333769685746672,16.37234172112449
10,11241,210,220.1320182849804,744.070031630846,230.7528832105664,355.08121663677525,3897.024075120056,0.47721478025194947,5.2374425920347765,0.31012253336531287,1.5387942793882963,16.888300682960253
12,13234,495,549.509234274986,1701.6251114794434,610.0210071787506,1041.03241746271,8485.456189601722,0.6117871735905481,4.9866778130843485,0.35849318575722017,1.7065517502049943,13.910104881216466
12,13235,495,524.8322612536574,1774.482442058298,556.4624291972269,919.4123235320797,6939.772673683621,0.5181298511275289,3.910871423238137,0.3135913976989045,1.6522451027977891,12.471233113968164
12,13236,495,525.4981960383011,1640.9466441570721,557.8754627060782,945.4714175808099,7849.779576550652,0.5761743813836697,4.783689710144693,0.33997172588914365,1.6947714692354916,14.070845737638006
12,13237,495,544.0291156248671,1663.8293242061497,597.9145023183333,1011.2684393770493,7737.6177544514285,0.6077957784880057,4.650487668344961,0.35936047863780246,1.6913261602720646,12.941010335842085
12,13238,495,439.9329804465648,1100.669321507964,390.9919743123183,658.1651912012934,4707.596072221117,0.5979681438741101,4.277030330755025,0.35523110045135314,1.6833214859688177,12.040134789213761
12,13239,495,462.2991002194684,1373.208444321328,431.75850113884866,734.839528289675,6495.1213895298115,0.5351259900333994,4.7298874518208,0.3144158506483944,1.7019688699849336,15.043412862509113
12,13240,495,461.8881820542417,1434.0930410611513,430.99129842701484,718.1808181391797,7154.770536046308,0.500790951197814,4.989056031366113,0.3005323128184937,1.6663464454162251,16.60073083182656
12,13241,495,526.4862594943776,1669.4476489827925,559.9753160330931,959.0053988678737,8379.073925274337,0.5744447269443897,5.019069588902516,0.3354255021858819,1.7125851290402216,14.963291569050439
14,15234,1001,966.4475461963674,2764.4419444662335,933.0877717772024,1692.360814004647,13763.767881422664,0.6121889509715903,4.978859443575767,0.33753205548231024,1.8137209222893338,14.750775112192876
14,15235,1001,1037.5838312341846,3015.21236637086,1075.5047021364724,1886.760640921096,13160.111337049271,0.6257471818451117,4.364571956465181,0.35669285325695343,1.7543025494663826,12.2362192474909
14,15236,1001,986.4422373755259,2841.7026632041484,972.0961914869464,1746.6266040436883,13038.939611461741,0.6146408724107285,4.588425024298547,0.3420823030059253,1.7967631386066825,13.413219520505478
14,15237,1001,924.5391304939513,2688.1244541429596,853.9186851293822,1546.9008054142323,10273.813102703405,0.5754572869682935,3.8219261339888186,0.31766337448153326,1.8115317445944543,12.031371700394118
14,15238,1001,1069.808755579291,3576.476235983544,1143.3474260880232,2017.9235774395138,12493.421655723854,0.5642211619182135,3.4932209335058304,0.3196854531241135,1.7649259808489386,10.927056265364802
14,15239,1001,1006.4812353588302,2995.831585824948,1011.9924846447922,1867.8849745297816,13353.405342464948,0.6234946528262305,4.457328444511972,0.3378001919177057,1.845749847821653,13.19516255810138
